family_id,country,doc_number,kind,title,abstract,publication_date,keywords
100146502,CN,224369631,U,一种多功能的磨豆机,[0001]    本实用新型公开了一种多功能的磨豆机，包括主体，主体的第一端以容置有驱动电机、第二端依次设置有第一平磨组件、第二平磨组件和第三平磨组件；第二平磨组件的两端分别与第一平磨组件和第三平磨组件形成连通的第一研磨空间、第二研磨空间；驱动电机以提供驱动力以使得第二平磨组件与第一平磨组件、第三平磨组件做相对旋转运动，通过第一平磨组件、第二平磨组件和第三平磨组件配合以获得第一研磨空间和第二研磨空间，进而获得两个主要的研磨部位，两个研磨部位能够对咖啡豆同时进行研磨处理，大大加快了所需要的研磨速度；且能够通过的调节环实现对两个研磨部位的调节，能够获得更多粒度尺径的咖啡粉，以便于适配多种不同调配方式。,20260619,['espresso machine']
100161194,WO,2026123055,A1,KITCHEN APPLIANCE,"The present disclosure provides a kitchen appliance including a vessel (104) for containing a substance (108), wherein the vessel (104) includes a light pipe (110) that extends from a bottom portion of the vessel (104) along a portion of one or more side walls (116) of the vessel (104), and a base (106) configured to removably support the vessel (104), wherein the base (106) includes an illumination assembly (250). When the vessel (104) is supported by the base (106), the light pipe (110) is positioned adjacent to the illumination assembly (250) to receive and transmit light emitted therefrom.",20260618,['espresso machine']
100121427,US,20260169680,A1,SPATIAL AUDIO WITH AN IMAGE,"[0000]    According to at least one implementation, a method includes generating a three-dimensional scene from at least one two-dimensional image and generating an image of the three-dimensional scene. The method further includes identifying audio content associated with the three-dimensional scene based on the at least one two-dimensional image, and determining audio associated with the image based on a spatialization of the audio content from a perspective associated with the image of the three-dimensional scene.",20260618,['espresso machine']
100102654,CN,122207993,A,一种茶咖一体机系统,本申请公开了一种茶咖一体机系统，包括液路系统、控制系统、供电系统和机械结构，其中，液路系统包括：咖啡液供应模块，用于咖啡的萃取和输出；热水供应模块，用于提供热水作为饮品原料或清洁介质；台面冷藏原料供应模块，用于冷藏并输出粘稠液态原料；台下冷藏原料供应模块，用于冷藏并输出常规液态原料；常温原料供应模块，用于常温存储并输出原料；蒸汽清洁模块，用于产生高温蒸汽以清洁和消杀管路；循环加热模块，用于对冷原料进行加热；出饮模块，用于将调制完成的饮品输出至盛接容器；清洗模块，用于控制清洁液体的输入，实现管路清洗、消毒、排空等功能；排水系统，用于收集并排放设备内各模块产生的废水。,20260616,['espresso machine']
100110021,CN,224357407,U,一种冲煮头恒温系统,[0001]    本实用新型涉及咖啡冲煮设备，本实用新型公开了冲煮头恒温系统，包括多重腔体冲煮头和锅炉系统，多重腔体冲煮头用于调节冲煮头的温度，锅炉系统用于控制锅炉的温度，三级调节机构是通过转动凸轮，把第二顶杆顶起，使密封杆下腔体与冲煮头腔相通，通过压力的作用将水从出液口经出液通道流出；再次转动凸轮归位时，由于第二顶杆弹簧的作用将第二顶杆归位，同时密封住连接口，使密封杆下腔体与冲煮头腔隔绝；归位时凸轮将下面的泄压第二顶杆顶开将多余的水从泄压口泄出。,20260616,['espresso machine']
100053156,CN,122195143,A,一种多加热区段PID的温度误差补偿方法及系统,[0001]    本发明涉及过程温度控制技术领域，具体为一种多加热区段PID的温度误差补偿方法及系统，包括：通过执行热传递辨识与动态建模，建立描述各加热区段间热耦合效应的耦合传递函数矩阵；基于矩阵计算出前馈补偿传递函数；实时监测第一加热区段的控制输出作为预测性扰动，利用前馈补偿传递函数计算出前馈补偿信号，并与第二加热区段的主控制信号叠加，生成最终加热驱动信号，主动抵消过程区段的热力学干扰；通过在线评估补偿的残余耦合度，对主PID控制器参数执行自适应整定。本发明通过结合前馈补偿与自适应反馈，解决多变量过程温度控制系统的耦合干扰问题，有效消除温度超调与振荡，显著提升过程温度控制系统的精度、动态响应性能与长期鲁棒性。,20260612,['espresso machine']
94685836,WO,2026119740,A1,IMPROVED SYSTEM FOR HEATING WATER FOR A COFFEE MACHINE AND METHOD OF HEATING WATER IN A COFFEE MACHINE,"An espresso coffee machine is described, the machine comprises: a pump (1) configured to receive water at a first pressure (p1) and to emit water at a second pressure (p2); a limescale trap (2) configured to receive, at a limescale trap inlet, water at the second pressure (p2), at a second temperature (t2) and at a second hardness (d2) and to provide, at a limescale trap outlet, a fluid at a third hardness (d3) which is less than the second hardness (d2); and a throughflow heating device (3) configured to receive, at the inlet, the fluid from the limescale trap (2) and to supply, at the outlet, a fluid at a fourth temperature (t4), which is substantially equal to a temperature of use for extracting an espresso coffee or for frothing a beverage by emitting steam, wherein the limescale trap (2) comprises a heating boiler configured to provide, at a heating boiler outlet, a fluid at a third temperature (t3), which is higher than the second temperature (t2).",20260611,['espresso machine']
100037235,US,20260161719,A1,Artificial Intelligence (AI) Agent Recommendation System,"[0000]    Systems and methods for the generation of a recommendation using a machine-learned model. The method can include receiving, from a client device, a user query. Additionally, the method can include determining, using a machine-learned model operating on a computing system, an input tool based on the user query. Moreover, the method can include receiving, from the client device, additional information, the additional information being uploaded using the input tool. Furthermore, the method can include processing, by the machine-learned model, the user query and the additional information to select a content item associated with a content provider. Subsequently, the method can include presenting the content item on a graphical user interface.",20260611,['espresso machine']
100002853,CN,224330796,U,便于制作意式咖啡的咖啡装置,本实用新型涉及咖啡机技术领域，特别涉及便于制作意式咖啡的咖啡装置。本实用新型的便于制作意式咖啡的咖啡装置，其包括为包装袋以及圆柱形的底杯，底杯设置有顶端开口的内腔且其底壁开设有若干贯穿孔；底杯的内腔内设置有咖啡粉，咖啡粉与底杯的内腔的内壁相抵，并且咖啡粉顶端面低于底杯；包装袋具备隔气性，底杯及咖啡粉位于包装袋内。本实用新型达到的效果为，能够确保咖啡粉的压实度统一且符合期望值，并且咖啡粉的新鲜度能够长时间保持，便于制作意式咖啡。,20260609,['espresso machine']
98868800,SE,2530232,A1,MANUAL COFFEE TAMPING DEVICE WITH SCREW MECHANISM,"[0001]    ABSTRACT A manually operated coffee tamping device configured to apply a compressive force to ground coffee within a portafilter for espresso preparation. The device comprises a locking element configured to be secured to the portafilter using a locking interface, and a tamping element configured to couple to the locking element via a screw mechanism. The screw mechanism can convert a rotation force applied on the tamping element into a linear force for compressing the coffee grounds. The locking element counteracts the compressing force through the locking interface, eliminating the need for an external support surface when tamping. The device improves tamping consistency, reduces user effort, and provides ergonomic advantages.",20260608,['espresso machine']
100172428,KR,102973980,B1,DID IoT DID-based IoT-linked smart beverage dispenser,"본 발명은 DID(Digital Information Display) 기반 IoT(Internet of Things) 연동형 스마트 음료 디스펜서에 관한 것으로, 저전력으로 커피를 추출 할 수 있으며, IoT 기반으로 원격 관리 및 유지보수를 할 수 있으며, DID 광고 기능을 탑재할 수 있는 DID 기반 IoT 연동형 스마트 음료 디스펜서 시스템에 관한 것이다. 이를 위해 본 발명은 디스플레이부를 통하여 광고가 송출될 수 있고, 커피를 포함한 음료가 토출될 수 있는 디스펜서본체모듈; 내부에 커피를 포함한 음료가 저장되어 있고 디스펜서본체모듈과 결합되어 음료를 공급할 수 있는 음료컨테이너모듈; 디스펜서본체모듈과 결합되어 디스펜서본체모듈에 물, 음료를 포함한 유체를 공급하고, 배출할 수 있도록 하는 배관모듈; 디스펜서본체모듈과 무선통신을 통하여 정보를 송수신할 수 있는 통합관리서버를 포함하는, DID 기반 IoT 연동형 스마트 음료 디스펜서 시스템를 제공한다.",20260608,['espresso machine']
94768687,CN,122140117,A,自动饮料制备机中的水泵的优化控制,一种自动饮料制备机，包括：冲泡组件，包括能容纳粉末产品的冲泡室；液压线路，包括泵和流量计，流量计用于测量供应至冲泡室的冲泡液体的量；以及电子控制单元，被配置为存储在饮料制备循环期间控制泵的操作所需的功能数据以及基于所存储的功能数据在预冲泡阶段和冲泡阶段中的一者或两者期间通过实施以下控制中的一个或两个控制来控制泵：预冲泡阶段：对泵进行开环控制，以使得泵在所存储的小于全功率的预冲泡电功率处操作，从而使得供应至冲泡室的冲泡液体的流量随时间变化；冲泡阶段：基于由流量计测量的冲泡液体的流量对泵进行闭环控制，从而使得从初始冲泡流量达到所存储的目标冲泡流量并随后维持所存储的目标冲泡流量。,20260605,['espresso machine']
99970451,WO,2026116361,A1,PUMP AND BEVERAGE SUPPLY DEVICE,"This pump comprises: a suction-side pressure gauge and a discharge-side pressure gauge that are provided on a suction side and a discharge side of a flow path; and a control unit that generates a control command for an electromagnet of a resonance actuator in accordance with a suction-side pressure and a discharge-side pressure detected by the suction-side pressure gauge and the discharge-side pressure gauge, and controls the pressure of fluid which is discharged from a pump chamber.",20260604,['espresso machine']
99970483,WO,2026116350,A1,PUMP AND BEVERAGE SUPPLYING DEVICE,"In the present invention, when a piston operates in a pump chamber volume-increasing direction, a first closing part of a first valve body separates from a first valve seat in a first valve chamber and moves to a first position where the first closing part is not in contact with a first tapered surface, and as a result, a suction valve opens. When the piston operates in a pump chamber volume-decreasing direction, a second closing part of a second valve body separates from a second valve seat in a second valve chamber and moves to a second position where the second closing part is not in contact with a second tapered surface, and as a result, a discharge valve opens.",20260604,['espresso machine']
99970481,WO,2026116349,A1,PUMP AND BEVERAGE SUPPLY DEVICE,"This pump comprises: a flow path through which a fluid flows; a pump chamber provided on the flow path; a piston serving as a volume-changing member that operates so as to reduce or increase the volume of the pump chamber; and a housing that accommodates the flow path, the pump chamber, and the piston therein. The flow path is formed by coupling a plurality of blocks disposed in the housing, and communicating holes provided in each of the plurality of blocks. Among the plurality of blocks, at least a block disposed adjacent to a wall surface (side surface) of the housing is fixed to a block fixing part (side surface plate) disposed on an inner side of the housing relative to the block.",20260604,['espresso machine']
93656062,WO,2026114801,A1,SYSTEM AND METHOD FOR BREWING A BEVERAGE,"A system and method for brewing a beverage, the system comprising: a brewing compartment including a brewing chamber with a first opening opposite a second opening, a portioning means, a plunging mechanism, and a conveying assembly; the first opening is configured to receive a dose of grounds and the second opening is configured to deliver a brewed beverage; the portioning means is configured to portion a dose of grounds from a supply of grounds and to place the dose of grounds into the brewing chamber, in particular through the first opening; the conveying assembly is embedded in the system and comprises a filter; the conveying assembly is configured to be moved reciprocally between at least a first position and a second position; in the first position, the filter is essentially aligned with the second opening and is configured to receive and hold the dose of grounds from the portioning means.",20260604,['espresso machine']
99928522,CN,224307165,U,一种压力咖啡机用弹性二次分水网,[0001]    本实用新型公开了一种压力咖啡机用弹性二次分水网，包括分水网体、锥形弹簧和小上盖，分水网体的顶面中部连接有锥形弹簧，且锥形弹簧的大直径端朝上设置，小上盖设置在锥形弹簧的顶端；小上盖的底面边沿一体成型有向下凸起的内翻折边，锥形弹簧的顶部大直径端胀紧在内翻折边的内壁，锥形弹簧能可靠压紧咖啡粉，有利于防止咖啡粉上部的粉粒移动，锥形弹簧压缩后不占轴向空间，整体结构占用空间小，适合不同粉量的咖啡粉使用，通用性好，适用性强，同时也方便取放操作，改善咖啡出品，制造成本低。,20260602,['espresso machine']
99932455,CN,224307162,U,一种咖啡机自动冲泡机构,[0001]    本实用新型公开了一种咖啡机自动冲泡机构，具体涉及咖啡机技术领域，包括安装在咖啡机冲煮头下方的碗座，所述碗座内部开设有冲泡腔室，冲泡腔室内部嵌设有粉碗，所述粉碗底端开设若干个上宽下窄的微孔阵列，在碗座底端镶嵌有朝向碗座底端的超声波微型震子，所述粉碗顶端设有挂置在碗座顶端的分水罩，分水罩底端伸入至粉碗内腔，在分水罩底端开设有贯穿的分水孔，分水孔边缘处与分水罩底端边缘处留有间隙。本实用新型通过动态水流控制，利用分水板可旋转调节水流角度，配合倾斜分水微孔，使热水覆盖咖啡粉的路径更复杂，减少通道效应，避免咖啡局部过萃或萃取不足。,20260602,['espresso machine']
99908361,CN,122096600,A,一种意式咖啡机及意式咖啡机的使用方法,本发明在咖啡机技术领域公开了一种意式咖啡机及意式咖啡机的使用方法。其中，意式咖啡包括热萃机构、蒸汽机构以及磨豆机构，热萃机构的热萃管上的加热器用于加热水，使冲煮头进行热萃咖啡。蒸汽机构的蒸汽管用于将高温蒸汽运输至蒸汽嘴，蒸汽嘴喷出高温蒸汽，使意式咖啡机可以制作多样的花式咖啡。磨豆机构包括外磨芯以及动磨芯，咖啡豆进入外磨芯与动磨芯之间的磨豆间隙，被粉碎成咖啡粉。使意式咖啡机制备现磨咖啡，以满足用户多样的咖啡需求。意式咖啡机的使用方法包括热萃、饮水、蒸汽、调温这五种不同的工作模式，可以迎合用户对不同咖啡饮料或者饮水的需求，极大拓展了意式咖啡机的使用场景。,20260529,['espresso machine']
99875129,CN,122096603,A,一种多功能意式咖啡机及其使用方法,本发明在咖啡机技术领域公开了一种多功能咖啡机及其使用方法，其中多功能咖啡机包括可以提供常温水以及冰水的供水机构，萃取机构以及蒸汽机构。萃取机构的第一冲煮头以及第二冲煮头分别用于热萃咖啡以及冷萃咖啡。蒸汽机构用于提供高温蒸汽，使用户可以进行打奶泡或加热饮料。多功能意式咖啡机还包括磨豆机构可以实时磨制咖啡豆，以提供高质量的咖啡粉，有利于制作出风味更加醇厚的咖啡饮料。多功能咖啡机的使用方法包括五种不同的工作模式，使多功能意式咖啡机可以适应多种不同的使用场景。,20260529,['espresso machine']
99904649,CN,122096599,A,一种多位萃取咖啡机及其控制方法,本发明公开了一种多位萃取咖啡机及其控制方法，多位萃取咖啡机包括第一萃取组件和第二萃取组件，第一萃取组件上连接有第一加热组件，且经第一加热组件加热后的萃取溶剂被输送至第一萃取组件，第二萃取组件上连接有第二加热组件，且经第二加热组件加热后的萃取溶剂被输送至第二萃取组件，还包括饮水组件，饮水组件与第二加热组件连接，经过第二加热组件加热获得的热水被输送至饮水组件，还包括水源组件，水源组件被配置为向第一萃取组件、第二萃取组件、第一加热组件、第二加热组件和饮水组件提供水流。本发明中增设第二萃取组件，增加了咖啡萃取组件数量，可实现多位置同时萃取咖啡，适应人们对咖啡饮品日益喜爱的需求。,20260529,['espresso machine']
99990867,KR,20260076873,A,Auto leveling tamping machine,"[0001a]    [본 발명은 오토 레벨링 탬핑 머신에 관한 것으로서, 보다 상세하게는 탬핑부와, 레벨링부를 통해 각각 커피 입자의 분포, 커피 표면의 평탄화, 커피의 압축이 이루어지는데, 이 세 단계가 자동화되면 커피 추출 과정의 모든 변수들이 통제되어 일관된 품질을 유지할 수 있고, 자동화된 머신의 도구들을 통해 항상 일정한 품질의 커피를 제공할 수 있으며, 이는 고객의 만족도를 높이고 재방문율을 높이는 데 기여하며, 브랜드 이미지 개선에도 긍정적인 영향을 미칠 수 있는 특징이 있다.]",20260528,['espresso machine']
99889417,WO,2026112479,A1,MANUFACTURING DEVICE FOR COMPRESSED COFFEE BEAN BLOCK,"A compressed coffee bean block manufacturing apparatus can include a main unit; a supply unit providing coffee beans to a supply area located within the main unit; a storage unit that receives the coffee beans in a storage space device from the supply area and transports the coffee beans to a compression area on one side of the supply area; and a compression and discharge unit that compresses and shapes the coffee beans in the compression area into a coffee bean block and then transports the coffee bean block to a discharge area on one side of the compression area for ejection, wherein the supply unit compresses or cracks the coffee beans before providing the coffee beans to the supply area.",20260528,['espresso machine']
99857440,CN,122075597,A,一种具有提高免疫力和抗肿瘤作用的咖啡组合物,本发明涉及药品与食品技术领域，涉及一种具有提高免疫力的咖啡组合物，所述的咖啡组合物可以用于制备提高免疫力和抗肿瘤的药品或食品。所述的咖啡组合物包含五加科植物提取物和咖啡。所述的五加科植物为人参、三七或西洋参中的一种或几种。其中，五加科植物提取物2‑12份，咖啡20‑100份。所述的咖啡组合物还可以包含如下原料的提取物：党参、黄芪、大枣、枸杞、生姜、甘草，各原料的用量为：党参2‑5份，黄芪2‑5份，大枣2‑10份，枸杞2‑10份，生姜2‑10份，甘草2‑10份。本发明的咖啡组合物具有明显的提高免疫力和抗肿瘤的活性。,20260526,['espresso machine']
99838480,CN,224268981,U,冲泡系统及全自动咖啡机,本申请提供一种冲泡系统及全自动咖啡机，冲泡系统包括：骨架，其包括相对的第一侧板、第二侧板以及连接第一侧板和第二侧板的顶板，第一侧板上设有出渣口，第一侧板的第一竖向边缘的中部形成有凸弧部；压粉头组件，其设于骨架的顶部；冲泡腔组件，其设于骨架内，病包括冲泡腔体和推渣杆，冲泡腔体的顶部设有刮渣构件；动力组件，其与骨架固定，并驱动冲泡腔体在竖向方向上往复运动，冲泡腔体在往复运动过程中从上至下具有萃取位置、接粉位置和刮渣位置，在刮渣位置，刮渣构件在凸弧部的作用下转动，将渣饼由出渣口推出。本申请的冲泡腔体始终为立式，保证装粉和粉饼的均匀性，提升咖啡液的品质；且冲泡系统整体结构紧凑，空间占用小，通用性强。,20260526,['espresso machine']
99805505,US,20260138813,A1,Beverage Pod Construction,"[0000]    Beverage pod material includes filter material and coating material. The filter material includes water-permeable material and is configured for formation into a beverage pod. The coating material is applied to at least a portion of at least one side of the filter material and can include, for example, polyethylene terephthalate. The filter material can be formed into a holder and a lid, configured to hold beverage brewing material and cover an open end of the holder, respectively. The coating material can be applied to at least a portion of the lid and/or the holder, such as to an entire surface or in a pattern on a surface. A beverage pod includes the beverage pod material and beverage brewing material arranged in the holder. The lid is fixed to the holder to close the open end of the holder and enclose the beverage brewing material.",20260521,['espresso machine']
99819115,WO,2026102492,A1,KITCHEN APPLIANCE,"Disclosed herein is a kitchen appliance comprising a main body having an attachment site for a component; wherein, said attachment site is adapted with an inductive transmitter and the component is adapted with a inductive receiver; wherein the inductive transmitter is configured to inductively couple with the inductive receiver when the component is at a threshold distance from the attachment site to thereby induce a threshold potential in the inductive receiver; and wherein the inductive transmitter is configured to inductively couple with the inductive receiver to induce an attachment potential when the component is connected to the attachment site in an attachment position; wherein, wherein the inductive receiver is electrically coupled with a sensory output device; wherein output from the sensory output device energized by the threshold potential is user discernable from output from the sensory output device energized by the attachment potential.",20260521,['espresso machine']
99819092,WO,2026102481,A1,HEATING ASSEMBLY FOR A KITCHEN DEVICE,"A heating assembly (100) for a kitchen device (10) is provided, the heating assembly (100) being mounted in a cavity (12) for receiving water to be heated, and including a heating element (120) for heating the water in the cavity (12), an electrode (130) for contact with the water in the cavity (12), a power source (140) connected to the heating element (120) and the electrode (130) for creating an electric potential between the heating element (120) and the electrode (130) with the heating element (120) having an anodic potential. A kitchen device (10) having the heating assembly (100) is also provided as well as a method of operating the kitchen device (10).",20260521,['espresso machine']
99988695,KR,102966391,B1,DESIGNATED GOODS RECOMMENDATION METHOD AND APPARATUS,"[0001a]    [전자 장치에 의해 수행되는 지정상품 추천 방법이 개시된다. 지정상품 추천 방법은 상표에 대한 상품 정보를 수신하는 단계, 상품 정보로부터 사용자 벡터를 생성하는 단계, 사용자 벡터에 기초하여 데이터베이스로부터 복수의 지정상품 후보를 결정하는 단계, 복수의 지정상품 후보 각각의 클러스터 정보를 획득하는 단계, 각각의 클러스터 정보에 기초하여 언어 모델을 사용하여 각 클러스터에 포함된 지정상품과 상품 정보 간의 의미적 관련성을 평가하여 각 클러스터에 포함된 지정상품을 정제하는 단계, 정제된 각 클러스터에서 지정상품의 점수를 계산하는 단계 및 지정상품의 점수에 기초하여 추천상품을 결정하는 단계를 포함한다.]",20260518,['espresso machine']
99750064,CN,224235188,U,Italian coffee machine,"The Italian coffee machine comprises a main machine, a high-pressure air source and an air path system, the main machine comprises a water bin and a coffee extraction bin which are communicated through a one-way valve mechanism, the input end of the air path system is communicated with the output end of the high-pressure air source, and the output end of the air path system is communicated to the water bin. The gas path system can depressurize the high-pressure gas and convey the depressurized low-pressure gas to the top of the water sump; the gas path system comprises a high-pressure pipeline, a gas pressure reduction mechanism and a low-pressure pipeline, the input end of the high-pressure pipeline is connected with the output end of the high-pressure gas source, the output end is connected with a high-pressure cavity of the gas pressure reduction mechanism, the low-pressure cavity of the gas pressure reduction mechanism is connected with the input end of the low-pressure pipeline, and the output end of the low-pressure pipeline is communicated to the water sump. The Italian coffee machine integrates an automatic puncturing structure, a pressure reduction structure, a balance valve structure and a pressure relief structure, and is high in functionality, simple and attractive in overall appearance, small in size and small in occupied space.",20260515,['espresso machine']
99767339,US,D1129963,S,Espresso machine,,20260616,['espresso machine']
99767335,US,D1133691,S,Manual espresso machine,,20260714,['espresso machine']
99665500,CN,224206618,U,Portable coffee filter cup structure and Italian coffee machine thereof,"The utility model discloses a portable coffee filter cup structure and an Italian coffee machine thereof, and belongs to the technical field of coffee equipment, the portable coffee filter cup structure comprises a cup body with a filter cavity, a powder ejecting assembly is arranged in the filter cavity, and the powder ejecting assembly comprises a movable top plate and a supporting column arranged at the lower end of the movable top plate; the device further comprises an elastic element which is arranged on the supporting column in a sleeving mode. Through the synergistic effect of the movable top plate and the elastic element, self-adaptive adjustment of the stroke of the brewing net is achieved, the problem that powder is splashed when the powder amount is too small or blocked when the powder amount is too large is effectively solved, and extraction uniformity and stability are remarkably improved. Meanwhile, a mixing and filtering space is arranged, so that coffee liquid is roughly filtered, then secondarily mixed and finely filtered, full contact of grease and micro powder is promoted, and the purity and taste mellowness of the liquid are enhanced. In addition, after brewing is completed, the elastic element drives the movable top plate to automatically reset, the linkage structure promotes the powder residues to be rapidly separated from the inner wall of the filter cavity, and the powder residues are convenient to clean.",20260508,['espresso machine']
99812674,KR,20260065311,A,Coffee extraction method that allows coffee extraction by area of the group head,"본 발명은 커피를 추출하는 브로그룹이나 그룹헤드의 영역별 커피추출이 가능한 커피추출 방법에 관한 것으로, 더욱 상세하게는 커피 그룹헤드를 적어도 2개의 영역으로 분할하고, 각 영역별로 커피 추출수의 추출압력, 추출유량, 추출온도 및 추출시간을 개별 제어하여 커피를 추출하는 방법에 관한 것이다. 이를 위한 본 발명에서 제안하는 브로그룹 또는 그룹헤드의 영역별 커피추출이 가능한 커피 추출 방법은 포터필터를 담긴 커피를 적어도 2개의 영역으로 분할하고, 분할된 영역별로 커피 추출수의 추출압력, 추출유량, 추출시간 및 추출온도 중 적어도 하나를 개별 제어하는 다단 커피추출 프로파일을 불러오거나 생성하는 단계; 및 불러오거나 생성한 다단 커피추출 프로파일에 따라 각 영역별로 커피 추출수의 추출압력, 추출유량, 추출시간 및 추출온도를 설정하고, 설정한 커피 추출수의 추출압력, 추출유량, 추출시간 및 추출온도에 따라 각 영역별로 커피를 추출하는 단계;를 포함한다.",20260508,['espresso machine']
